,channel_title,Title,Description,Published_date,Views,Likes,Comments,Month
24,take U forward,L7. N Meeting in One Room | Greedy Algorithms Playlist,"Find problem link, notes under Step 12: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/

Follow me on socials: https://linktr.ee/takeUforward",2024-05-27,10158,611,21,May
25,take U forward,L6. Job Sequencing Problem | Greedy Algorithm Playlist,"Find problem link, notes here: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/

Follow me on socials: https://linktr.ee/takeUforward",2024-05-27,11803,672,35,May
26,take U forward,L5. Jump Game - II | Greedy Algorithm Playlist,"Find problem link, notes in step 12: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/

Follow me on socials: https://linktr.ee/takeUforward",2024-05-22,19794,938,64,May
27,take U forward,L4. Jump Game - I | Greedy Algorithm Playlist,"Find problem link, notes in step 12: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/

Follow me on socials: https://linktr.ee/takeUforward",2024-05-22,16737,942,35,May
28,take U forward,L3. Shortest Job First (or SJF) CPU Scheduling,"Find problem link, notes in step 12: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/

Follow me on socials: https://linktr.ee/takeUforward",2024-05-22,12583,727,36,May
29,take U forward,L2. Lemonade Change | Greedy Algorithm Playlist,"Find problem link, notes in step 12: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/

Follow me on socials: https://linktr.ee/takeUforward",2024-05-22,13976,891,37,May
30,take U forward,L1. Assign Cookies | Greedy Algorithm Playlist,"Find problem link, notes under Step 12: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/

Follow me on socials: https://linktr.ee/takeUforward",2024-05-22,42654,1452,86,May
31,take U forward,L12. Minimum Window Substring | 2 Pointers and Sliding Window Playlist,"Notes/Codes/Problem links under step 10 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Entire playlist: https://www.youtube.com/playlist?list=PLgUwDviBIf0q7vrFA_HEWcqRqMpCXzYAL

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-27,45587,1325,195,Mar
32,take U forward,L11. Subarray with k different integers | 2 Pointers and Sliding Window Playlist,"Notes/Codes/Problem links under step 10 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Entire playlist: https://www.youtube.com/playlist?list=PLgUwDviBIf0q7vrFA_HEWcqRqMpCXzYAL

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-27,27857,1201,60,Mar
33,take U forward,L10. Count number of Nice subarrays | 2 Pointers and Sliding Window Playlist,"Notes/Codes/Problem links under step 10 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Entire playlist: https://www.youtube.com/playlist?list=PLgUwDviBIf0q7vrFA_HEWcqRqMpCXzYAL

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-27,33954,1231,33,Mar
34,take U forward,L9. Binary Subarrays With Sum | 2 Pointers and Sliding Window Playlist,"Notes/Codes/Problem links under step 10 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Entire playlist: https://www.youtube.com/playlist?list=PLgUwDviBIf0q7vrFA_HEWcqRqMpCXzYAL

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-27,44362,1544,71,Mar
35,take U forward,L8. Longest Repeating Character Replacement | 2 Pointers and Sliding Window Playlist,"Notes/Codes/Problem links under step 10 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Entire playlist: https://www.youtube.com/playlist?list=PLgUwDviBIf0q7vrFA_HEWcqRqMpCXzYAL

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-27,46240,1590,74,Mar
36,take U forward,L7. Number of Substrings Containing All Three Characters | 2 Pointers and Sliding Window Playlist,"Notes/Codes/Problem links under step 10 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Entire playlist: https://www.youtube.com/playlist?list=PLgUwDviBIf0q7vrFA_HEWcqRqMpCXzYAL

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-27,32292,1464,65,Mar
37,take U forward,L6. Longest Substring With At Most K Distinct Characters | 2 Pointers and Sliding Window Playlist,"Notes/Codes/Problem links under step 10 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Entire playlist: https://www.youtube.com/playlist?list=PLgUwDviBIf0q7vrFA_HEWcqRqMpCXzYAL

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-27,26681,1114,65,Mar
38,take U forward,L5. Fruit Into Baskets | 2 Pointers and Sliding Window Playlist,"Notes/Codes/Problem links under step 10 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Entire playlist: https://www.youtube.com/playlist?list=PLgUwDviBIf0q7vrFA_HEWcqRqMpCXzYAL

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-27,37120,1519,71,Mar
39,take U forward,L4. Max Consecutive Ones III | 2 Pointers and Sliding Window Playlist,"Notes/Codes/Problem links under step 10 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Entire playlist: https://www.youtube.com/playlist?list=PLgUwDviBIf0q7vrFA_HEWcqRqMpCXzYAL

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-27,47297,1847,71,Mar
40,take U forward,L3. Longest Substring Without Repeating Characters | 2 Pointers and Sliding Window Playlist,"Notes/Codes/Problem links under step 10 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Entire playlist: https://www.youtube.com/playlist?list=PLgUwDviBIf0q7vrFA_HEWcqRqMpCXzYAL

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-27,75364,2366,89,Mar
41,take U forward,L2. Maximum Points You Can Obtain from Cards | 2 Pointers and Sliding Window Playlist,"Notes/Codes/Problem links under step 10 of A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Entire playlist: https://www.youtube.com/playlist?list=PLgUwDviBIf0q7vrFA_HEWcqRqMpCXzYAL

Follow us on our other social media handles: https://linktr.ee/takeuforward",2024-03-27,47822,2342,72,Mar
